name,href,price_begin,price_end
Химик-технолог (производство ЛКМ и бытовой химии),https://tomsk.hh.ru/vacancy/45827497?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,65000.0,70000.0
Хроматографист / химик-аналитик,https://tomsk.hh.ru/vacancy/45689104?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,75000.0,0.0
Главный технолог/Химик,https://tomsk.hh.ru/vacancy/45608755?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,100000.0,0.0
Начальник лаборатории контроля качества и разработок,https://tomsk.hh.ru/vacancy/45898782?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,120000.0,150000.0
Химик-технолог/Химик-лаборант на производство,https://tomsk.hh.ru/vacancy/45455350?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,70000.0
Химик,https://tomsk.hh.ru/vacancy/45841616?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,45000.0,0.0
Лаборант-химик (пищевое производство),https://tomsk.hh.ru/vacancy/45486628?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,50000.0,0.0
Химик (учет реактивов),https://tomsk.hh.ru/vacancy/45058803?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,,
Химик-аналитик в лабораторию контроля качества,https://tomsk.hh.ru/vacancy/41728374?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,44000.0,50000.0
Химик-технолог,https://tomsk.hh.ru/vacancy/45629036?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,65000.0,0.0
Химик-технолог,https://tomsk.hh.ru/vacancy/45595641?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,70000.0,100000.0
Химик-технолог,https://tomsk.hh.ru/vacancy/44685241?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,150000.0,0.0
Химик-технолог,https://tomsk.hh.ru/vacancy/44685285?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,150000.0,0.0
Химик-инженер / химик-лаборант,https://tomsk.hh.ru/vacancy/45470428?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,50000.0,0.0
Инженер-химик/хрономатографист,https://tomsk.hh.ru/vacancy/45813743?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,,
Инженер химик-органик (полимерщик),https://tomsk.hh.ru/vacancy/45569485?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,0.0,100000.0
Микробиолог,https://tomsk.hh.ru/vacancy/45480743?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,,
